Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                  14",6.198607814478e-01,-3.666211893504e-01,4.713874473269e-06,6.254519007051e-01,-3.619545540536e-01,1.610702894041e-05,5.591119257268e-03,4.666635296763e-03,1.139315446714e-05
"                  15",2.903671461572e-01,-9.154728861863e-02,7.741088248074e-06,2.961056010518e-01,-8.625626402852e-02,1.315997586300e-05,5.738454894553e-03,5.291024590110e-03,5.418887614926e-06
"                  16",5.137742602089e-02,-7.900239904884e-02,2.620482739469e-06,5.666461297773e-02,-7.316119141568e-02,3.729818651102e-06,5.287186956841e-03,5.841207633153e-03,1.109335911633e-06
"                  17",4.626919739060e-02,-2.148493529753e-01,-2.534363189350e-06,5.040460094639e-02,-2.096025171896e-01,8.027433489101e-06,4.135403555785e-03,5.246835785784e-03,1.056179667845e-05
"                  18",2.157675824524e-01,-3.268449618637e-01,-2.612141094211e-06,2.186174622650e-01,-3.227870097444e-01,1.999474602658e-05,2.849879812634e-03,4.057952119297e-03,2.260688712079e-05
"                  19",3.847560178012e-01,-3.461529535122e-01,8.496889017950e-07,3.870572034383e-01,-3.428800624884e-01,2.294513244664e-05,2.301185637040e-03,3.272891023825e-03,2.209544354484e-05
"                  20",4.260967752515e-01,-3.103110924906e-01,2.882377260407e-06,4.287520584511e-01,-3.070898740317e-01,1.731952102046e-05,2.655283199522e-03,3.221218458886e-03,1.443714376005e-05
"                  21",3.456423123814e-01,-2.755386124203e-01,1.499682967614e-06,3.487939805616e-01,-2.722221135682e-01,8.207718953746e-06,3.151668180195e-03,3.316498852072e-03,6.708035986132e-06
"                  22",2.393483554580e-01,-2.575143240025e-01,-1.087620615237e-06,2.424187744755e-01,-2.544875593386e-01,2.392871680336e-06,3.070419017555e-03,3.026764663887e-03,3.480492295573e-06
"                  23",1.986778310109e-01,-2.505190444257e-01,-2.072920200338e-06,2.010803022854e-01,-2.481698571372e-01,5.230559739705e-06,2.402471274474e-03,2.349187288485e-03,7.303479940043e-06
"                  24",2.350716543412e-01,-2.502872885908e-01,-9.595732901062e-07,2.368434501142e-01,-2.484348147579e-01,1.088049678091e-05,1.771795773007e-03,1.852473832954e-03,1.184007007101e-05
