Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",4.108548522039e+01,1.298277592067e+00,-6.522358307593e-05,4.260668958673e+01,1.298489323517e+00,-6.477003573364e-05,1.521204366339e+00,2.117314494972e-04,4.535473422908e-07
"                   2",2.620075651588e+01,5.371904069918e+00,-4.469276858147e-05,2.742144588536e+01,5.379188669475e+00,-4.109010472519e-05,1.220689369482e+00,7.284599556905e-03,3.602663856275e-06
"                   3",-7.762113756281e+00,8.779913112726e+00,-9.643288753133e-06,-6.737787885503e+00,8.801531194235e+00,-4.840532414324e-06,1.024325870778e+00,2.161808150909e-02,4.802756338809e-06
"                   4",-2.343022925524e+01,7.613173477742e+00,1.372843519727e-05,-2.253211740083e+01,7.625099126611e+00,1.733388148561e-05,8.981118544192e-01,1.192564886899e-02,3.605446288337e-06
"                   5",-1.237595509102e+01,2.576814780343e+00,1.265385966559e-05,-1.154119228268e+01,2.566631735269e+00,1.337432793441e-05,8.347628083339e-01,-1.018304507492e-02,7.204682688282e-07
"                   6",6.176754780066e+00,-7.772333972904e-01,5.172861727313e-07,6.965546595732e+00,-7.904793201659e-01,-1.415781497933e-06,7.887918156663e-01,-1.324592287549e-02,-1.933067670664e-06
"                   7",1.306295057566e+01,1.175323005857e+00,-7.583758119159e-06,1.378869601030e+01,1.168179324160e+00,-8.921776882204e-06,7.257454346394e-01,-7.143681696379e-03,-1.338018763045e-06
"                   8",6.058484939784e+00,5.586758050040e+00,-8.578050971872e-06,6.713983145431e+00,5.583015019489e+00,-8.012911862364e-06,6.554982056465e-01,-3.743030550898e-03,5.651391095087e-07
"                   9",-3.696463441882e+00,7.874287444647e+00,-6.504489097939e-06,-3.118517327730e+00,7.874905592848e+00,-5.829020062879e-06,5.779461141523e-01,6.181482006858e-04,6.754690350602e-07
"                  10",-6.520619402064e+00,6.118062978766e+00,-5.413888525912e-06,-6.016301406751e+00,6.118101975167e+00,-6.302711962572e-06,5.043179953133e-01,3.899640064230e-05,-8.888234366599e-07
"                  11",-2.302005592894e+00,2.833149014993e+00,-6.231288741487e-06,-1.854748519419e+00,2.831564279076e+00,-8.529388305856e-06,4.472570734747e-01,-1.584735916272e-03,-2.298099564369e-06
"                  12",2.823194406760e+00,1.534061597502e+00,-7.277479006088e-06,3.236757193150e+00,1.531848058315e+00,-9.665920118081e-06,4.135627863892e-01,-2.213539187367e-03,-2.388441111992e-06
"                  13",3.982364776579e+00,3.024989318278e+00,-7.292618420871e-06,4.376202713222e+00,3.022367150540e+00,-9.106610316877e-06,3.938379366427e-01,-2.622167737660e-03,-1.813991896006e-06
"                  14",1.438743924128e+00,5.336116294897e+00,-6.430499913058e-06,1.812906975311e+00,5.334094175661e+00,-7.941381582707e-06,3.741630511825e-01,-2.022119235982e-03,-1.510881669649e-06
"                  15",-1.404832535634e+00,6.147217245393e+00,-5.735073159147e-06,-1.052760694078e+00,6.146192968818e+00,-7.559869947254e-06,3.520718415559e-01,-1.024276574764e-03,-1.824796788108e-06
"                  16",-1.975383351775e+00,5.096252613865e+00,-5.819821772381e-06,-1.643261342893e+00,5.095276913791e+00,-7.997529976619e-06,3.321220088818e-01,-9.757000742750e-04,-2.177708204237e-06
"                  17",-5.092177260852e-01,3.608665222310e+00,-6.465611157604e-06,-1.909751303504e-01,3.606478342608e+00,-8.651139128105e-06,3.182425957348e-01,-2.186879701660e-03,-2.185527970500e-06
"                  18",1.095272590203e+00,3.276752027113e+00,-6.972126011690e-06,1.404350754027e+00,3.273578108309e+00,-9.081645431994e-06,3.090781638242e-01,-3.173918804019e-03,-2.109519420304e-06
"                  19",1.421548174843e+00,4.244036599813e+00,-6.993523920719e-06,1.723926684003e+00,4.240487099760e+00,-9.138132808103e-06,3.023785091606e-01,-3.549500052385e-03,-2.144608887384e-06
"                  20",5.666769348367e-01,5.249066934887e+00,-6.703891978546e-06,8.610325700136e-01,5.245449687166e+00,-9.265425069895e-06,2.943556351768e-01,-3.617247720848e-03,-2.561533091349e-06
