Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",3.566131496884e+01,5.341655745308e+02,3.592326409410e-04,3.649117969191e+01,5.343766681206e+02,3.589205238637e-04,8.298647230697e-01,2.110935898461e-01,-3.121170773549e-07
"                   2",2.109252924694e+01,3.691224692656e+02,2.627095314035e-04,2.190688546163e+01,3.692594667350e+02,2.623840075255e-04,8.143562146835e-01,1.369974694215e-01,-3.255238780122e-07
"                   3",-1.015557736049e+01,-6.199226022390e+01,-1.130261745191e-04,-9.377988516590e+00,-6.190794740208e+01,-1.090277428539e-04,7.775888438991e-01,8.431282181996e-02,3.998431665220e-06
"                   4",-2.422339557184e+01,-2.646262046202e+02,-2.909972431033e-04,-2.351682163117e+01,-2.645622402094e+02,-2.879392992938e-04,7.065739406728e-01,6.396441077847e-02,3.057943809524e-06
"                   5",-1.330844949162e+01,-1.248508463543e+02,-1.292533097420e-04,-1.266190651289e+01,-1.247857384850e+02,-1.241307263136e-04,6.465429787347e-01,6.510786928653e-02,5.122583428380e-06
"                   6",4.299462290105e+00,1.049911892499e+02,8.816376262173e-05,4.909057571015e+00,1.050631845655e+02,9.146031013168e-05,6.095952809104e-01,7.199531563468e-02,3.296547509956e-06
"                   7",1.048901361750e+01,1.849639964373e+02,1.299137326912e-04,1.108050268834e+01,1.850334030629e+02,1.309747623192e-04,5.914890708410e-01,6.940662561153e-02,1.061029627997e-06
"                   8",3.306898259678e+00,9.344128540691e+01,-9.458751247855e-07,3.889661428807e+00,9.349733366135e+01,-4.764823376783e-07,5.827631691299e-01,5.604825444719e-02,4.693927871072e-07
"                   9",-6.470596581240e+00,-2.410819353561e+01,-1.300235360962e-04,-5.912377317520e+00,-2.406186899452e+01,-1.296593016831e-04,5.582192637206e-01,4.632454109446e-02,3.642344130987e-07
"                  10",-9.613475482061e+00,-5.376172699536e+01,-1.389815586253e-04,-9.091857246801e+00,-5.372278313127e+01,-1.385624270696e-04,5.216182352591e-01,3.894386408982e-02,4.191315557383e-07
"                  11",-5.498924314437e+00,1.028456547593e+00,-5.787983672762e-05,-5.014339009751e+00,1.065756783565e+00,-5.836894868598e-05,4.845853046857e-01,3.730023597247e-02,-4.891119583557e-07
"                  12",-3.878854126801e-02,6.102391285535e+01,1.835779024182e-06,4.192908696476e-01,6.106036178817e+01,5.194486407867e-07,4.580794109156e-01,3.644893282512e-02,-1.316330383395e-06
