Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",4.683549276683e+01,6.310579397409e+02,-6.291895994912e-05,4.832880014828e+01,6.314386700427e+02,-6.093445336885e-05,1.493307381458e+00,3.807303017931e-01,1.984506580263e-06
"                   2",2.422978584990e+01,3.991216167069e+02,-4.046626394140e-05,2.543069270351e+01,3.991958649325e+02,-3.007006912044e-05,1.200906853615e+00,7.424822561355e-02,1.039619482096e-05
"                   3",-1.565512799774e+01,-1.137970694473e+02,5.624044527649e-06,-1.465379999669e+01,-1.139103254412e+02,1.698445176459e-05,1.001328001051e+00,-1.132559938836e-01,1.136040723694e-05
"                   4",-3.042800386721e+01,-3.233398996118e+02,3.391716570228e-05,-2.951570654166e+01,-3.234223531386e+02,3.864078305421e-05,9.122973255471e-01,-8.245352677226e-02,4.723617351936e-06
"                   5",-1.424994182125e+01,-1.281506025584e+02,3.214022802907e-05,-1.344744760498e+01,-1.281240742174e+02,2.978073691799e-05,8.024942162644e-01,2.652834103728e-02,-2.359491111087e-06
"                   6",7.804108614302e+00,1.470013900348e+02,1.484402647960e-05,8.539735042649e+00,1.471158374796e+02,1.178974567017e-05,7.356264283473e-01,1.144474447591e-01,-3.054280809432e-06
"                   7",1.341976314392e+01,2.190496638961e+02,3.147045225119e-06,1.409688453715e+01,2.191504809458e+02,4.869690495683e-06,6.771213932292e-01,1.008170496615e-01,1.722645270563e-06
"                   8",2.748461315046e+00,9.111334002551e+01,3.835708506857e-06,3.356068820247e+00,9.116264832698e+01,8.595090385807e-06,6.076075052014e-01,4.930830147001e-02,4.759381878950e-06
"                   9",-9.312825257257e+00,-4.638980228370e+01,1.166080094283e-05,-8.784546262230e+00,-4.639142958097e+01,1.824400442508e-05,5.282789950271e-01,-1.627297276641e-03,6.583203482244e-06
"                  10",-1.138050508585e+01,-6.081060945106e+01,1.728796085534e-05,-1.092354457648e+01,-6.081704530648e+01,2.013358127272e-05,4.569605093666e-01,-6.435855417625e-03,2.845620417384e-06
"                  11",-5.015730637305e+00,1.863827585644e+01,1.687072256442e-05,-4.612541803552e+00,1.865100356016e+01,1.746118281096e-05,4.031888337533e-01,1.272770371785e-02,5.904602465479e-07
"                  12",1.200812637908e+00,8.749898693443e+01,1.370100735434e-05,1.571592217835e+00,8.752752005729e+01,1.681054125155e-05,3.707795799270e-01,2.853312285594e-02,3.109533897209e-06
"                  13",1.643588053452e+00,8.534758940977e+01,1.196183058086e-05,2.001222936626e+00,8.538349882739e+01,1.718977948292e-05,3.576348831746e-01,3.590941762697e-02,5.227948902061e-06
"                  14",-2.275106296921e+00,3.856529350284e+01,1.292690565391e-05,-1.938057589707e+00,3.859852111895e+01,1.665455754772e-05,3.370487072141e-01,3.322761611459e-02,3.727651893813e-06
"                  15",-5.763513061035e+00,5.506365179184e+00,1.489457006163e-05,-5.454991783661e+00,5.534662104407e+00,1.460026505269e-05,3.085212773741e-01,2.829692522305e-02,-2.943050089404e-07
