"Distance along the path (m)","Velocity X (m/s)"
0,10.191938400268555
0.0011880686791828072,10.185977935791016
0.0023761373583656145,10.103008270263672
0.0035642060375484217,10.100744247436523
0.004752274716731229,10.000011444091797
0.005940343395914037,9.93618392944336
0.007128412075096844,9.926270484924316
0.008316480754279659,9.740792274475098
0.00950454943346246,9.734688758850098
0.010692618112645267,9.64236068725586
0.011880686791828075,9.566914558410645
0.01306875547101089,9.564558982849121
0.01425682415019369,9.479822158813477
0.015444892829376505,9.47619342803955
0.01663296150855931,9.478538513183594
0.01782103018774212,9.477920532226562
0.019009098866924926,9.48266887664795
0.020197167546107734,9.596485137939453
0.021385236225290535,9.602107048034668
0.02257330490447335,9.701787948608398
0.023761373583656157,9.813834190368652
0.024949442262838965,9.81721019744873
0.026137510942021772,9.973694801330566
0.02732557962120458,9.983878135681152
0.028513648300387388,10.00510025024414
0.029701716979570195,10.045363426208496
0.030889785658753006,10.044103622436523
0.032077854337935814,10.033012390136719
0.03326592301711862,10.033366203308105
0.03445399169630142,10.012938499450684
0.03564206037548423,9.988133430480957
0.03683012905466704,9.986668586730957
0.03801819773384985,9.940887451171875
0.03920626641303266,9.938243865966797
0.04039433509221547,9.923676490783691
0.04158240377139827,9.902750015258789
0.042770472450581076,9.90206527709961
0.04395854112976389,9.883072853088379
0.0451466098089467,9.882498741149902
0.046334678488129506,9.878288269042969
0.047522747167312314,9.875467300415039
0.04871081584649513,9.875344276428223
0.04989888452567793,9.879444122314453
0.05108695320486074,9.881612777709961
0.052275021884043545,9.883354187011719
0.05346309056322635,9.897497177124023
0.05465115924240917,9.89767074584961
0.055839227921591975,9.916016578674316
0.057027296600774775,9.921282768249512
0.05821536527995758,9.924800872802734
0.05940343395914039,9.949512481689453
0.060591502638323205,9.949850082397461
0.06177957131750601,9.972846031188965
0.06296763999668882,9.980768203735352
0.06415570867587163,9.98393440246582
0.06534377735505442,10.011763572692871
0.06653184603423723,10.012205123901367
0.06771991471342001,10.033061027526855
0.06890798339260282,10.042399406433105
0.07009605207178563,10.044609069824219
0.07128412075096842,10.06995677947998
0.07247218943015123,10.070449829101562
0.07366025810933402,10.086295127868652
0.07484832678851683,10.095646858215332
0.07603639546769964,10.097002983093262
0.07722446414688243,10.117355346679688
0.07841253282606524,10.117862701416016
0.07960060150524803,10.128661155700684
0.08078867018443084,10.137078285217285
0.08197673886361365,10.137845039367676
0.08316480754279643,10.153003692626953
0.08435287622197923,10.153494834899902
0.08554094490116203,10.16032886505127
0.08672901358034484,10.167330741882324
0.08791708225952764,10.16775131225586
0.08910515093871044,10.178464889526367
0.09029321961789324,10.178905487060547
0.09148128829707605,10.183082580566406
0.09266935697625885,10.188615798950195
0.09385742565544165,10.188849449157715
0.09504549433462445,10.196592330932617
0.09623356301380726,10.196990966796875
0.09742163169299006,10.199771881103516
0.09860970037217284,10.204619407653809
0.09979776905135565,10.204760551452637
0.10098583773053844,10.211509704589844
0.10217390640972125,10.2120361328125
0.10336197508890406,10.214164733886719
0.10455004376808685,10.219548225402832
0.10573811244726966,10.219634056091309
0.10692618112645245,10.226158142089844
0.10811424980563526,10.227004051208496
0.10930231848481807,10.22846794128418
0.11049038716400086,10.233490943908691
0.11167845584318367,10.233530044555664
0.11286652452236645,10.236431121826172
0.11405459320154926,10.236498832702637
0.11524266188073207,10.236279487609863
0.11643073055991486,10.229543685913086
0.11761879923909767,10.229304313659668
0.11880686791828046,10.207636833190918
0.11999493659746327,10.195552825927734
