Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",4.287600248123e+01,1.931280895911e+02,-6.468477685705e-05,4.439503114062e+01,1.932548429244e+02,-6.375753756968e-05,1.519028659390e+00,1.267533332991e-01,9.272392873661e-07
"                   2",2.606416796609e+01,1.307909770933e+02,-4.371442785749e-05,2.728046390471e+01,1.308182065254e+02,-3.810261893297e-05,1.216295938618e+00,2.722943203914e-02,5.611808924520e-06
"                   3",-9.587047147664e+00,-2.413027367444e+01,-6.825830532273e-06,-8.572173172577e+00,-2.414536621950e+01,1.119096251605e-06,1.014873975087e+00,-1.509254505465e-02,7.944926783878e-06
"                   4",-2.482131569864e+01,-9.290953012774e+01,1.217118366018e-05,-2.390080733914e+01,-9.292396032577e+01,1.886680204778e-05,9.205083594981e-01,-1.443019802899e-02,6.695618387599e-06
"                   5",-1.246032851548e+01,-3.903081642300e+01,1.326245730896e-05,-1.163599507609e+01,-3.901756243182e+01,1.449800311031e-05,8.243334393937e-01,1.325399118442e-02,1.235545801354e-06
"                   6",6.913195792799e+00,4.355251902754e+01,1.083001048785e-06,7.675652608145e+00,4.358811454777e+01,5.433863529186e-08,7.624568153459e-01,3.559552023193e-02,-1.028662413493e-06
"                   7",1.335849812307e+01,6.916560743961e+01,-7.764732851527e-06,1.406570758263e+01,6.920414710541e+01,-6.630162116496e-06,7.072094595615e-01,3.853966579401e-02,1.134570735030e-06
"                   8",5.339173380544e+00,3.399599387920e+01,-7.995913648059e-06,5.980088999471e+00,3.401704206463e+01,-4.581407485020e-06,6.409156189274e-01,2.104818543372e-02,3.414506163038e-06
"                   9",-4.877575187333e+00,-7.187862167189e+00,-4.633553938511e-06,-4.308675428550e+00,-7.178303523245e+00,-1.523454753248e-06,5.688997587832e-01,9.558643943931e-03,3.110099185263e-06
"                  10",-7.350765490739e+00,-1.378373993091e+01,-2.439914993050e-06,-6.849582738830e+00,-1.377721277400e+01,-1.270790328891e-06,5.011827519088e-01,6.527156912021e-03,1.169124664160e-06
"                  11",-2.542233828824e+00,7.940308251714e+00,-3.212085872372e-06,-2.094278401611e+00,7.950841160745e+00,-3.001880862419e-06,4.479554272135e-01,1.053290903128e-02,2.102050099527e-07
"                  12",2.838453690218e+00,2.879455126425e+01,-4.589374749344e-06,3.253562511489e+00,2.880951765283e+01,-3.926938870319e-06,4.151088212714e-01,1.496638858237e-02,6.624358790253e-07
"                  13",3.764790858546e+00,3.001955281752e+01,-4.737684695014e-06,4.158612678515e+00,3.003644835829e+01,-2.642374431025e-06,3.938218199685e-01,1.689554077427e-02,2.095310263990e-06
"                  14",8.714187492929e-01,1.739424912972e+01,-3.798418815393e-06,1.243773484643e+00,1.741079433049e+01,-1.588743396483e-06,3.723547353498e-01,1.654520076627e-02,2.209675418910e-06
"                  15",-2.090782060151e+00,7.196577715597e+00,-2.829993266743e-06,-1.742375300483e+00,7.212830089231e+00,-1.618698416032e-06,3.484067596675e-01,1.625237363393e-02,1.211294850710e-06
"                  16",-2.527964662550e+00,8.271591300712e+00,-2.671670356903e-06,-2.200067750381e+00,8.288495177946e+00,-2.099798512110e-06,3.278969121696e-01,1.690387723365e-02,5.718718447926e-07
"                  17",-8.873128867009e-01,1.594879538436e+01,-3.182723163841e-06,-5.732585909209e-01,1.596681395218e+01,-2.192245952754e-06,3.140542957800e-01,1.801856782305e-02,9.904772110869e-07
"                  18",7.530808953843e-01,2.122614868371e+01,-3.587398342245e-06,1.058049361142e+00,2.124518119266e+01,-1.930984210283e-06,3.049684657574e-01,1.903250894417e-02,1.656414131962e-06
"                  19",9.880226714740e-01,2.020282503784e+01,-3.513134650532e-06,1.285842715312e+00,2.022215322345e+01,-2.361389799314e-06,2.978200438382e-01,1.932818560574e-02,1.151744851219e-06
"                  20",1.948868077260e-02,1.595042445918e+01,-3.094315391332e-06,3.077241731247e-01,1.596966689007e+01,-3.466794926162e-06,2.882354923521e-01,1.924243088533e-02,-3.724795348294e-07
"                  21",-9.797688654526e-01,1.365375790002e+01,-2.816816916941e-06,-7.023659649735e-01,1.367303053731e+01,-4.305931434989e-06,2.774029004791e-01,1.927263728760e-02,-1.489114518048e-06
"                  22",-1.171672334932e+00,1.500119020799e+01,-2.800865507751e-06,-9.029955529636e-01,1.502079084664e+01,-3.945384851571e-06,2.686767819684e-01,1.960063865465e-02,-1.144519343820e-06
"                  23",-6.437831918461e-01,1.768945069755e+01,-2.903387218981e-06,-3.804783518648e-01,1.770941108909e+01,-2.800362957873e-06,2.633048399813e-01,1.996039154616e-02,1.030242611079e-07
