"Distance along the path (m)","Velocity Y (m/s)"
0,12.0111665725708
0.0011880686791828072,12.00095272064209
0.0023761373583656145,11.872411727905273
0.0035642060375484217,11.869213104248047
0.004752274716731229,11.731742858886719
0.005940343395914037,11.647969245910645
0.007128412075096844,11.634805679321289
0.008316480754279659,11.405884742736816
0.00950454943346246,11.398744583129883
0.010692618112645267,11.289958000183105
0.011880686791828075,11.20534896850586
0.01306875547101089,11.202322959899902
0.01425682415019369,11.118926048278809
0.015444892829376505,11.115833282470703
0.01663296150855931,11.129981994628906
0.01782103018774212,11.144811630249023
0.019009098866924926,11.150518417358398
0.020197167546107734,11.31202220916748
0.021385236225290535,11.320571899414062
0.02257330490447335,11.441641807556152
0.023761373583656157,11.583333015441895
0.024949442262838965,11.586977005004883
0.026137510942021772,11.778361320495605
0.02732557962120458,11.791220664978027
0.028513648300387388,11.82776165008545
0.029701716979570195,11.891408920288086
0.030889785658753006,11.891061782836914
0.032077854337935814,11.921477317810059
0.03326592301711862,11.9248628616333
0.03445399169630142,11.929004669189453
0.03564206037548423,11.942316055297852
0.03683012905466704,11.942585945129395
0.03801819773384985,11.970122337341309
0.03920626641303266,11.97311782836914
0.04039433509221547,11.987113952636719
0.04158240377139827,12.01786994934082
0.042770472450581076,12.018572807312012
0.04395854112976389,12.063685417175293
0.0451466098089467,12.068739891052246
0.046334678488129506,12.08296012878418
0.047522747167312314,12.120899200439453
0.04871081584649513,12.121506690979004
0.04989888452567793,12.164186477661133
0.05108695320486074,12.170148849487305
0.052275021884043545,12.179786682128906
0.05346309056322635,12.212971687316895
0.05465115924240917,12.213360786437988
0.055839227921591975,12.243229866027832
0.057027296600774775,12.248528480529785
0.05821536527995758,12.253637313842773
0.05940343395914039,12.27564525604248
0.060591502638323205,12.275835990905762
0.06177957131750601,12.291544914245605
0.06296763999668882,12.294729232788086
0.06415570867587163,12.296836853027344
0.06534377735505442,12.306134223937988
0.06653184603423723,12.306133270263672
0.06771991471342001,12.310647010803223
0.06890798339260282,12.310659408569336
0.07009605207178563,12.311210632324219
0.07128412075096842,12.309776306152344
0.07247218943015123,12.30954647064209
0.07366025810933402,12.307333946228027
0.07484832678851683,12.30391788482666
0.07603639546769964,12.303851127624512
0.07722446414688243,12.295483589172363
0.07841253282606524,12.295000076293945
0.07960060150524803,12.290056228637695
0.08078867018443084,12.283819198608398
0.08197673886361365,12.283586502075195
0.08316480754279643,12.271899223327637
0.08435287622197923,12.271141052246094
0.08554094490116203,12.265800476074219
0.08672901358034484,12.25753402709961
0.08791708225952764,12.257305145263672
0.08910515093871044,12.244384765625
0.09029321961789324,12.243302345275879
0.09148128829707605,12.238574028015137
0.09266935697625885,12.228814125061035
0.09385742565544165,12.228631973266602
0.09504549433462445,12.215787887573242
0.09623356301380726,12.214312553405762
0.09742163169299006,12.210678100585938
0.09860970037217284,12.200267791748047
0.09979776905135565,12.2001314163208
0.10098583773053844,12.188617706298828
0.10217390640972125,12.186776161193848
0.10336197508890406,12.184189796447754
0.10455004376808685,12.173958778381348
0.10573811244726966,12.173833847045898
0.10692618112645245,12.163233757019043
0.10811424980563526,12.16091537475586
0.10930231848481807,12.15864372253418
0.11049038716400086,12.146231651306152
0.11167845584318367,12.146055221557617
0.11286652452236645,12.130196571350098
0.11405459320154926,12.125171661376953
0.11524266188073207,12.121271133422852
0.11643073055991486,12.088705062866211
0.11761879923909767,12.088081359863281
0.11880686791828046,12.038969993591309
0.11999493659746327,12.015254974365234
