Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                  15",-2.294271430156e+00,1.820769329675e+01,-4.736643063339e-07,-1.948648380787e+00,1.822112927305e+01,-1.943692225633e-07,3.456230493680e-01,1.343597629823e-02,2.792950837707e-07
"                  16",-3.904316318446e+00,1.134839456499e+01,-3.850021520355e-07,-3.572662825187e+00,1.136180716191e+01,-6.180976638353e-08,3.316534932590e-01,1.341259691910e-02,3.231923856520e-07
"                  17",-3.570891423453e+00,1.960202844914e+01,-1.097263793139e-07,-3.257808933036e+00,1.961634018329e+01,-1.468428396819e-07,3.130824904161e-01,1.431173415684e-02,-3.711646036804e-08
"                  18",-1.989626696868e+00,3.076719602260e+01,1.883496497317e-07,-1.693643467091e+00,3.078218305169e+01,-3.742051125047e-08,2.959832297765e-01,1.498702909217e-02,-2.257701609822e-07
"                  19",-7.280089585905e-01,3.458538643189e+01,2.797020847346e-07,-4.433565125176e-01,3.460036132426e+01,1.173042922515e-07,2.846524460729e-01,1.497489236810e-02,-1.623977924831e-07
"                  20",-7.211681770746e-01,3.011842340172e+01,1.786203103932e-07,-4.470539294679e-01,3.013271889333e+01,1.651355413680e-07,2.741142476067e-01,1.429549160685e-02,-1.348476902527e-08
"                  21",-1.639712761802e+00,2.351523494287e+01,2.846143920489e-08,-1.377011775369e+00,2.352855475719e+01,1.458913035080e-07,2.627009864338e-01,1.331981432154e-02,1.174298643031e-07
"                  22",-2.430042453771e+00,2.074134539805e+01,-1.514488415436e-07,-2.179605767096e+00,2.075364752059e+01,-2.402618340007e-07,2.504366866748e-01,1.230212253977e-02,-8.881299245710e-08
"                  23",-2.367287450363e+00,2.262870648482e+01,-2.069718495001e-07,-2.128484628377e+00,2.264002206828e+01,-3.971996170427e-07,2.388028219862e-01,1.131558346466e-02,-1.902277675426e-07
"                  24",-1.623512291466e+00,2.578622152114e+01,-2.115838105364e-07,-1.394208551622e+00,2.579670964184e+01,-5.763776465517e-07,2.293037398437e-01,1.048812070110e-02,-3.647938360153e-07
"                  25",-8.963103873178e-01,2.667108556330e+01,-2.137111550705e-07,-6.746160401115e-01,2.668103725185e+01,6.638872100636e-08,2.216943472063e-01,9.951688551147e-03,2.800998760769e-07
"                  26",-6.690684507301e-01,2.481045131027e+01,-5.003603662552e-07,-4.538092519368e-01,2.481985726009e+01,5.955805138527e-07,2.152591987932e-01,9.405949828112e-03,1.095940880108e-06
"                  27",-8.912833671508e-01,2.175392751793e+01,-1.115174380308e-07,-6.832140010166e-01,2.176300093498e+01,1.078568879791e-06,2.080693661342e-01,9.073417053340e-03,1.190086317822e-06
"                  28",-1.144454280340e+00,1.972643193960e+01,6.687434629227e-08,-9.434696709938e-01,1.973510891674e+01,9.701900552440e-07,2.009846093462e-01,8.676977145219e-03,9.033157089518e-07
"                  29",-1.094245960479e+00,1.928063888166e+01,-2.837047419144e-08,-8.995237090500e-01,1.928907667639e+01,8.009164132382e-07,1.947222514294e-01,8.437794733939e-03,8.292868874297e-07
"                  30",-7.383010496156e-01,1.949622158403e+01,-1.905899278411e-09,-5.477539873819e-01,1.950467389945e+01,1.533986616882e-06,1.905470622337e-01,8.452315413700e-03,1.535892516160e-06
"                  31",-3.374364425493e-01,1.921475503457e+01,-3.318859206044e-08,-1.483371651553e-01,1.922340804893e+01,2.576008406091e-06,1.890992773940e-01,8.653014358657e-03,2.609196998152e-06
"                  32",-1.358002932201e-01,1.807282366125e+01,-5.989764793291e-08,5.227264633491e-02,1.808205707765e+01,2.390484767354e-06,1.880729395550e-01,9.233416400904e-03,2.450382415287e-06
"                  33",-1.544114953991e-01,1.659825084701e+01,-2.936995605139e-07,3.220141296532e-02,1.660854777912e+01,1.777422356521e-06,1.866129083644e-01,1.029693211120e-02,2.071121917035e-06
"                  34",-2.258265936807e-01,1.557641596159e+01,-4.233840008887e-07,-4.088227246867e-02,1.558792077646e+01,2.408906556721e-06,1.849443212121e-01,1.150481487428e-02,2.832290557610e-06
"                  35",-1.993493994525e-01,1.537237651925e+01,-4.503280588021e-07,-1.565979792144e-02,1.538486755962e+01,2.297436187435e-06,1.836896015311e-01,1.249104037124e-02,2.747764246237e-06
"                  36",-6.929845091485e-02,1.579002363217e+01,-4.190684306417e-07,1.143919922893e-01,1.580314986122e+01,1.110102626192e-06,1.836904432042e-01,1.312622904311e-02,1.529171056834e-06
