Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",4.593470219471e+01,5.152846135066e+02,-6.356782618682e-05,4.743740723899e+01,5.156022355432e+02,-6.186218715769e-05,1.502705044280e+00,3.176220366494e-01,1.705639029127e-06
"                   2",2.494728329071e+01,3.304140132787e+02,-4.161218067119e-05,2.616276381425e+01,3.304785792213e+02,-3.290175969498e-05,1.215480523545e+00,6.456594259680e-02,8.710420976212e-06
"                   3",-1.387263903735e+01,-8.829606358382e+01,1.747532459865e-06,-1.286318787220e+01,-8.838623567757e+01,1.222719429948e-05,1.009451165153e+00,-9.017209374628e-02,1.047966183961e-05
"                   4",-2.887091599097e+01,-2.623926878859e+02,2.771824686007e-05,-2.795337455544e+01,-2.624528724568e+02,3.303341671653e-05,9.175414355383e-01,-6.018457083052e-02,5.315169856461e-06
"                   5",-1.376527612171e+01,-1.056548892252e+02,2.652111332483e-05,-1.295544319721e+01,-1.056310733251e+02,2.600598268407e-05,8.098329244966e-01,2.381590010270e-02,-5.151306407607e-07
"                   6",7.616629863004e+00,1.190255734771e+02,1.054935589412e-05,8.353963383703e+00,1.191214415339e+02,8.552219171417e-06,7.373335206993e-01,9.586805681886e-02,-1.997136722704e-06
"                   7",1.361804159846e+01,1.803715386271e+02,-3.792966832462e-07,1.430231227164e+01,1.804578557240e+02,1.320024144225e-06,6.842706731769e-01,8.631709691180e-02,1.699320827471e-06
"                   8",3.557352677839e+00,7.720868773669e+01,2.367133161572e-07,4.173300675148e+00,7.724796125106e+01,4.497609877713e-06,6.159479973096e-01,3.927351437557e-02,4.260896561556e-06
"                   9",-8.049421556328e+00,-3.546242009249e+01,6.240850322189e-06,-7.509111344409e+00,-3.546603134201e+01,8.538155057600e-06,5.403102119189e-01,-3.611249518612e-03,2.297304735410e-06
"                  10",-1.021262610237e+01,-4.888894801324e+01,1.001323025336e-05,-9.741402985154e+00,-4.889742040906e+01,9.097481641956e-06,4.712231172142e-01,-8.472395821611e-03,-9.157486114016e-07
