Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                  19",-1.121659549709e+00,4.064827017990e+01,-7.081578196249e-05,-7.594448279331e-01,4.067806596822e+01,-7.781034441534e-05,3.622147217757e-01,2.979578831964e-02,-6.994562452850e-06
"                  20",-2.625675029734e+00,2.451457221648e+01,-6.209093708817e-05,-2.280932931033e+00,2.454383732728e+01,-7.473929154768e-05,3.447420987009e-01,2.926511079945e-02,-1.264835445951e-05
"                  21",-3.750293506008e+00,1.576519399433e+01,-5.652229304917e-05,-3.430227349648e+00,1.579120689884e+01,-5.238672443050e-05,3.200661563596e-01,2.601290450355e-02,4.135568618672e-06
"                  22",-3.576616730452e+00,1.992440278397e+01,-5.993992149608e-05,-3.266919918092e+00,1.995116477634e+01,-6.153438718907e-05,3.096968123600e-01,2.676199236919e-02,-1.594465692985e-06
"                  23",-2.661926715634e+00,2.847626458183e+01,-6.600800076493e-05,-2.364163670182e+00,2.850257801792e+01,-7.136056708849e-05,2.977630454520e-01,2.631343608844e-02,-5.352566323560e-06
"                  24",-2.028458461651e+00,3.192401355105e+01,-6.829714775237e-05,-1.742993071267e+00,3.195019130617e+01,-7.188756124445e-05,2.854653903839e-01,2.617775512244e-02,-3.590413492076e-06
"                  25",-2.141741910355e+00,2.865048053556e+01,-6.655013616526e-05,-1.868855814154e+00,2.867686296099e+01,-6.843616284247e-05,2.728860962012e-01,2.638242543032e-02,-1.886026677210e-06
"                  26",-2.654174224877e+00,2.365018258554e+01,-6.423668190739e-05,-2.393830624803e+00,2.367677779001e+01,-6.585813534484e-05,2.603436000738e-01,2.659520446714e-02,-1.621453437443e-06
"                  27",-2.954429425655e+00,2.197508797917e+01,-6.407424977453e-05,-2.706428829057e+00,2.200170784655e+01,-6.770211296510e-05,2.480005965982e-01,2.661986737528e-02,-3.627863190573e-06
"                  28",-2.795549043033e+00,2.397709035223e+01,-6.620594834744e-05,-2.558538436477e+00,2.400360170076e+01,-6.895300259422e-05,2.370106065556e-01,2.651134852529e-02,-2.747054246787e-06
