Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                  34",-2.334443802227e+00,3.178647415727e+01,8.711439557227e-06,-2.137569944630e+00,3.182065872829e+01,1.026457495679e-05,1.968738575969e-01,3.418457101978e-02,1.553135399564e-06
"                  35",-2.316823207268e+00,3.248729714841e+01,8.947281687321e-06,-2.123448079972e+00,3.252138654639e+01,1.072778968516e-05,1.933751272959e-01,3.408939797848e-02,1.780507997843e-06
"                  36",-2.273094940758e+00,3.273916753825e+01,9.163276090813e-06,-2.082823682917e+00,3.277320600173e+01,1.258339804010e-05,1.902712578409e-01,3.403846347821e-02,3.420121949291e-06
"                  37",-2.285731022767e+00,3.267854543903e+01,9.362229735525e-06,-2.098916129524e+00,3.271252219128e+01,1.427984612443e-05,1.868148932424e-01,3.397675225097e-02,4.917616388900e-06
"                  38",-2.366672748680e+00,3.268240475467e+01,9.568720274798e-06,-2.183696269045e+00,3.271626702473e+01,1.466520023632e-05,1.829764796352e-01,3.386227006409e-02,5.096479961524e-06
"                  39",-2.462665713286e+00,3.295623375111e+01,9.793903097226e-06,-2.283379662967e+00,3.298997916768e+01,1.375106021758e-05,1.792860503191e-01,3.374541657746e-02,3.957157120353e-06
"                  40",-2.523238851091e+00,3.341576728372e+01,1.003590269613e-05,-2.347270927828e+00,3.344951846984e+01,1.269948418434e-05,1.759679232633e-01,3.375118611752e-02,2.663581488208e-06
"                  41",-2.545559429119e+00,3.379744667936e+01,1.026210536189e-05,-2.372380822717e+00,3.383136703668e+01,1.263255403320e-05,1.731786064015e-01,3.392035731359e-02,2.370448671311e-06
"                  42",-2.555082199544e+00,3.398739074387e+01,1.045090383698e-05,-2.384636283469e+00,3.402152549753e+01,1.355938526289e-05,1.704459160751e-01,3.413475366687e-02,3.108481425903e-06
"                  43",-2.582313434534e+00,3.404408700891e+01,1.064875706468e-05,-2.414802043046e+00,3.407844098741e+01,1.501245479111e-05,1.675113914886e-01,3.435397849723e-02,4.363697726428e-06
"                  44",-2.634629348024e+00,3.412567707945e+01,1.086166178733e-05,-2.470054228946e+00,3.416023486957e+01,1.691712957730e-05,1.645751190781e-01,3.455779011885e-02,6.055467789971e-06
"                  45",-2.698949399175e+00,3.433745212921e+01,1.110203369594e-05,-2.536835903626e+00,3.437219772154e+01,1.802525149796e-05,1.621134955491e-01,3.474559232368e-02,6.923217802020e-06
"                  46",-2.753756462671e+00,3.463436950028e+01,1.128582075940e-05,-2.593815315120e+00,3.466924097018e+01,1.748945437490e-05,1.599411475515e-01,3.487146989498e-02,6.203633615500e-06
"                  47",-2.785007699692e+00,3.490822369041e+01,1.155169558661e-05,-2.626775327651e+00,3.494314605100e+01,1.658071955840e-05,1.582323720408e-01,3.492236058307e-02,5.029023971795e-06
"                  48",-2.802235995562e+00,3.510465468930e+01,1.177092298210e-05,-2.645619425899e+00,3.513959248901e+01,1.655970796798e-05,1.566165696631e-01,3.493779971594e-02,4.788784985878e-06
"                  49",-2.821013596237e+00,3.522928032150e+01,1.195170859676e-05,-2.666197673500e+00,3.526425113568e+01,1.763697446483e-05,1.548159227368e-01,3.497081417316e-02,5.685265868067e-06
"                  50",-2.852088233094e+00,3.532673783062e+01,1.221244906576e-05,-2.699124519201e+00,3.536184050054e+01,1.924157120417e-05,1.529637138929e-01,3.510266992488e-02,7.029122138405e-06
"                  51",-2.892753098858e+00,3.546330641545e+01,1.237511593467e-05,-2.741522061159e+00,3.549855049949e+01,2.052054636053e-05,1.512310376986e-01,3.524408403305e-02,8.145430425861e-06
"                  52",-2.934586875360e+00,3.566041609850e+01,1.250737424329e-05,-2.784659070384e+00,3.569579524997e+01,2.155674782769e-05,1.499278049763e-01,3.537915147366e-02,9.049373584398e-06
"                  53",-2.970188158053e+00,3.587985796026e+01,1.266537763111e-05,-2.821288539296e+00,3.591533835771e+01,2.199393413598e-05,1.488996187574e-01,3.548039745190e-02,9.328556504869e-06
"                  54",-2.997573858364e+00,3.606497484886e+01,1.275609270554e-05,-2.849245260058e+00,3.610055708672e+01,2.204986189119e-05,1.483285983065e-01,3.558223786128e-02,9.293769185651e-06
"                  55",-3.021954805038e+00,3.618606842837e+01,1.286820910938e-05,-2.874060893947e+00,3.622178234191e+01,2.175240534887e-05,1.478939110908e-01,3.571391354421e-02,8.884196239487e-06
"                  56",-3.049223203455e+00,3.627828788091e+01,1.304570968441e-05,-2.901725376005e+00,3.631414575030e+01,2.131131848666e-05,1.474978274506e-01,3.585786938873e-02,8.265608802249e-06
"                  57",-3.079288345397e+00,3.640255457902e+01,1.320972133702e-05,-2.932133890119e+00,3.643855859528e+01,2.063295516228e-05,1.471544552775e-01,3.600401625856e-02,7.423233825260e-06
"                  58",-3.109300633599e+00,3.656774455064e+01,1.333782352814e-05,-2.962316544693e+00,3.660390038590e+01,1.973584936111e-05,1.469840889058e-01,3.615583526164e-02,6.398025832964e-06
"                  59",-3.137225256849e+00,3.674946249742e+01,1.344392330112e-05,-2.990068782056e+00,3.678575175240e+01,1.900738307523e-05,1.471564747939e-01,3.628925498157e-02,5.563459774109e-06
"                  60",-3.162952908967e+00,3.691778918953e+01,1.356183952235e-05,-3.015240860391e+00,3.695423184221e+01,1.828102556063e-05,1.477120485755e-01,3.644265267293e-02,4.719186038277e-06
